"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A1815"	0.0157	0.0047	0.0249	0.0225	0.0088	0.0072	0.0081	0.1012	0.0066	0.6105	0.0296	0.0695	0.0101	0.0129	0.0225	0.0054	0.0398
"A1824"	0.0156	0.0039	0.0414	0.0386	0.0109	0.0067	0.0094	0.0063	0.008	0.4529	0.043	0.26	0.0099	0.0118	0.0414	0.0061	0.0341
"A1850"	0.0154	0.0208	0.0105	0.0111	0.0148	0.0264	0.0061	0.0074	0.0948	0.0307	0.0646	0.3327	0.0227	0.0564	0.2369	0.0365	0.0122
"A1859"	0.0168	0.066	0.0053	0.0037	0.0133	0.0505	0.0096	0.0142	0.2635	0.0345	0.0987	0.2423	0.0283	0.0734	0.0427	0.0326	0.0046
"A1861"	0.0082	0.0764	0.0034	0.0032	0.015	0.059	0.0093	0.0043	0.264	0.0199	0.0801	0.2614	0.0369	0.082	0.0358	0.038	0.0031
"A1872"	0.0147	0.1929	0.0059	0.0029	0.0138	0.0308	0.0094	0.0042	0.0572	0.008	0.0139	0.0292	0.0193	0.0331	0.2235	0.0206	0.3206
"A1876"	0.0206	0.0092	0.0236	0.0304	0.0072	0.0075	0.0091	0.0242	0.0112	0.6087	0.0344	0.1248	0.0125	0.01	0.0389	0.0083	0.0194
"A1892"	0.0171	0.0088	0.0199	0.0198	0.0074	0.0068	0.0083	0.0343	0.0125	0.4758	0.0318	0.2109	0.0125	0.0143	0.0405	0.0086	0.0707
"A1905"	0.0066	0.0096	9e-04	0.002	0.0038	0.0073	0.0059	0.0019	0.0164	0.0477	0.0143	0.822	0.0097	0.0109	0.0153	0.0098	0.0159
"A1941"	0.0116	0.0079	0.0128	0.0144	0.0067	0.0057	0.0084	0.0212	0.01	0.571	0.0222	0.2195	0.0086	0.0097	0.0224	0.0077	0.0402
"A1952"	0.0091	0.0069	0.0139	0.0101	0.0065	0.0056	0.0085	0.0063	0.0059	0.568	0.0318	0.1573	0.0108	0.0084	0.0202	0.0053	0.1254
"A1982"	0.0155	0.0692	0.0051	0.0041	0.0135	0.0532	0.0113	0.0101	0.1307	0.0227	0.1651	0.2453	0.0308	0.0968	0.0479	0.0471	0.0316
"A1985"	0.0057	0.0104	0.0019	0.0026	0.0048	0.0073	0.007	0.0026	0.0275	0.0946	0.0288	0.5314	0.0114	0.0149	0.0264	0.0097	0.213
"A1989"	0.0173	0.0078	0.0281	0.0253	0.0139	0.0066	0.0094	0.0056	0.0113	0.5097	0.0283	0.2518	0.0108	0.0132	0.0331	0.0068	0.021
"A2012"	0.0208	0.0084	0.0314	0.0288	0.0089	0.0091	0.0079	0.0491	0.0116	0.3788	0.0333	0.263	0.0134	0.0179	0.0827	0.0079	0.027
"A2051"	0.0069	0.0163	0.0042	0.0028	0.0074	0.0097	0.0083	0.0032	0.0278	0.0827	0.0265	0.3906	0.0149	0.0219	0.0354	0.0131	0.3283
"A2066"	0.0164	0.0071	0.0359	0.0354	0.0086	0.0074	0.0123	0.0103	0.0113	0.6155	0.027	0.1252	0.0119	0.0125	0.0376	0.0072	0.0184
"A2102"	0.0153	0.0061	0.0444	0.0454	0.0089	0.0061	0.0094	0.0226	0.0176	0.3836	0.0257	0.0932	0.01	0.0145	0.0227	0.0081	0.2664
"A2126"	0.0084	0.0108	0.0042	0.0027	0.0051	0.0136	0.0095	0.0018	0.0473	0.0507	0.0372	0.6658	0.014	0.0295	0.0665	0.0136	0.0193
"A2130"	0.0255	0.0114	0.0275	0.0366	0.0108	0.0074	0.0086	0.0779	0.0094	0.4897	0.028	0.1766	0.0129	0.0138	0.0389	0.0083	0.0167
"A2133"	0.0117	0.0725	0.0055	0.0044	0.012	0.0483	0.0079	0.0155	0.2103	0.0163	0.0832	0.3278	0.0258	0.0673	0.0484	0.0338	0.0093
"A2153"	0.0165	0.0435	0.0037	0.0028	0.013	0.0261	0.0084	0.0783	0.1381	0.0161	0.0575	0.1512	0.029	0.1153	0.248	0.048	0.0045
"A2182"	0.0097	0.0723	0.0045	0.0041	0.0124	0.0535	0.012	0.0064	0.2603	0.0332	0.1358	0.2272	0.0148	0.0728	0.0375	0.039	0.0045
"A2187"	0.0159	0.0138	0.0022	0.0036	0.0088	0.014	0.0076	0.1167	0.0343	0.033	0.0284	0.2696	0.0163	0.0354	0.2892	0.0931	0.0181
"A2212"	0.0105	0.091	0.0048	0.0042	0.019	0.0645	0.0084	0.0041	0.2782	0.0119	0.2224	0.1149	0.0267	0.0737	0.0251	0.0369	0.0037
"A2226"	0.0197	0.0098	0.0219	0.0241	0.0106	0.0068	0.0058	0.0692	0.0081	0.5205	0.0295	0.1615	0.0103	0.0112	0.0368	0.0079	0.0463
"A2260"	0.009	0.053	0.0057	0.0038	0.0115	0.0549	0.0088	0.0076	0.3045	0.0227	0.1414	0.1995	0.0163	0.0782	0.0254	0.0472	0.0105
"A2262"	0.0123	0.0085	0.0268	0.0306	0.0073	0.0058	0.0079	0.0078	0.008	0.6234	0.0343	0.1284	0.0097	0.0123	0.0324	0.0081	0.0364
"A2312"	0.0113	0.0578	0.0049	0.0042	0.0111	0.0522	0.009	0.0063	0.2672	0.0164	0.1025	0.2183	0.0484	0.0855	0.0561	0.0398	0.009
"A2345"	0.0276	0.0073	0.0337	0.0348	0.0132	0.0102	0.0083	0.0841	0.0102	0.5155	0.0258	0.1384	0.012	0.0139	0.0376	0.012	0.0154
"A2360"	0.0113	0.0663	0.0045	0.0025	0.0123	0.036	0.0073	0.0055	0.088	0.021	0.0454	0.5448	0.0159	0.058	0.051	0.0263	0.0039
"A2380"	0.0119	0.0073	0.0146	0.0146	0.0071	0.0057	0.009	0.0037	0.009	0.6192	0.0274	0.1561	0.0116	0.0082	0.0225	0.0064	0.0657
"A2399"	0.0166	0.0103	0.0237	0.0211	0.0094	0.0058	0.0104	0.0057	0.0093	0.5825	0.022	0.1663	0.01	0.009	0.0288	0.0075	0.0616
"A2438"	0.0237	0.0087	0.0331	0.0413	0.007	0.0082	0.0115	0.1512	0.0109	0.4164	0.0455	0.1403	0.0087	0.015	0.0473	0.0091	0.0221
"A2447"	0.0081	0.0837	0.0064	0.0044	0.0131	0.0559	0.0086	0.0092	0.1862	0.0128	0.0511	0.4114	0.0175	0.0546	0.0257	0.0479	0.0034
"A2493"	0.0151	0.0532	0.0046	0.0041	0.0121	0.046	0.0097	0.0072	0.1518	0.0192	0.1	0.3138	0.0276	0.0858	0.1108	0.0334	0.0056
"A2496"	0.0308	0.0117	0.0516	0.0327	0.0141	0.0162	0.0075	0.0621	0.0207	0.216	0.0408	0.2302	0.0103	0.0238	0.2061	0.0122	0.0132
"A2509"	0.01	0.0088	0.0142	0.0148	0.0093	0.0093	0.0092	0.0035	0.0112	0.3927	0.0375	0.2261	0.0089	0.0089	0.0265	0.0063	0.2028
"A2527"	0.0215	0.0102	0.0198	0.023	0.0105	0.0089	0.0095	0.0133	0.0102	0.4951	0.0407	0.2233	0.0173	0.0128	0.0367	0.0074	0.0398
"A2532"	0.0128	0.0749	0.0207	0.0172	0.0294	0.1117	0.0147	0.0031	0.0253	0.155	0.2474	0.1618	0.0147	0.0287	0.0244	0.0188	0.0394
"A2546"	0.0414	0.0129	0.037	0.0329	0.0138	0.0168	0.008	0.1041	0.014	0.2262	0.0472	0.238	0.0148	0.02	0.1485	0.0118	0.0126
"A2596"	0.0195	0.0078	0.0265	0.0149	0.0132	0.0056	0.01	0.0345	0.0142	0.4831	0.0322	0.236	0.0091	0.0161	0.0368	0.0087	0.0318
"A2621"	0.0211	0.1094	0.0038	0.0039	0.0109	0.0791	0.0071	0.0135	0.2677	0.0171	0.0641	0.1366	0.0308	0.0939	0.091	0.0451	0.0049
"A2631"	0.0173	0.0081	0.0262	0.0201	0.0089	0.0063	0.0071	0.0394	0.0104	0.6079	0.0349	0.1334	0.0099	0.0124	0.0352	0.0089	0.0136
"A2641"	0.0106	0.0065	0.0175	0.0154	0.01	0.0046	0.0104	0.0044	0.0075	0.5716	0.0203	0.1834	0.0103	0.0112	0.0296	0.0056	0.0811
"A2686"	0.0146	0.0087	0.016	0.0186	0.0077	0.0053	0.008	0.0129	0.0163	0.5651	0.0273	0.1919	0.008	0.0139	0.0303	0.0081	0.0473
"A2735"	0.0204	0.0062	0.0223	0.0274	0.0093	0.0062	0.0077	0.044	0.0094	0.5144	0.0316	0.1557	0.0127	0.0123	0.0385	0.0074	0.0745
"A2747"	0.0185	0.0097	0.0156	0.0159	0.0098	0.0061	0.0097	0.1491	0.0124	0.4505	0.0255	0.1402	0.0156	0.0131	0.051	0.0087	0.0486
"A2763"	0.0142	0.0048	0.0911	0.0624	0.0068	0.0073	0.0075	0.0064	0.0072	0.5682	0.0274	0.1339	0.0073	0.0053	0.0203	0.0054	0.0245
"A2773"	0.0121	0.0086	0.0139	0.0127	0.0065	0.0087	0.0075	0.0089	0.0142	0.5503	0.025	0.2046	0.0126	0.0132	0.022	0.005	0.0742
"A2839"	0.0061	0.0122	0.0029	0.0025	0.0055	0.0082	0.0059	0.0015	0.0244	0.0942	0.0205	0.5219	0.0122	0.0146	0.0354	0.0089	0.2231
"A2856"	0.0158	0.053	0.0048	0.0052	0.0115	0.0344	0.0101	0.0178	0.1128	0.0264	0.1297	0.353	0.0168	0.0751	0.0734	0.0476	0.0126
